manager,manager_brand,market,unit_count,miles_from_city_center,number_stories,property_quality,building_age,total_pop,land_area,pop_density,unemployed_perc,hs_diploma_perc,bachelors_perc,masters_perc,star_rating,aided_recognition,unaided_recognition,rating,area_type_Rural,area_type_Suburban,area_type_Urban,style_Garden,style_Hi-Rise,style_Low-Rise,style_Mid-Rise,style_Townhome,building_class_A,building_class_B,building_class_C
Cortland,1,"Atlanta, GA",378.0,6.224298317164696,8.0,0.8047162946781371,6.0,3777.0,3892044.0,0.0009704412385882,0.0140323007678051,0.0839290442149854,0.2345777071750066,0.1821551495896214,4.0,0.3260553129548763,0.0611353711790393,4.5,0,1,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",399.0,0.2350162813840263,21.0,0.796663445046284,6.0,2642.0,1361960.0,0.0019398513906428,0.0083270249810749,0.0268735806207418,0.3569265707797123,0.1555639666919,5.0,0.3260553129548763,0.0611353711790393,4.1,0,1,0,0,1,0,0,0,1,0,0
Cortland,1,"Atlanta, GA",287.0,1.0019487241609726,7.0,0.7778740998035654,7.0,2776.0,3608604.0,0.0007692725497172,0.007564841498559,0.0706051873198847,0.2889048991354467,0.1920028818443804,4.0,0.3260553129548763,0.0611353711790393,4.4,0,0,1,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",531.0,6.194520251622525,7.0,0.8250851531703908,8.0,5920.0,4281259.0,0.001382770815781,0.0493243243243243,0.0760135135135135,0.2756756756756757,0.1755067567567567,4.0,0.3260553129548763,0.0611353711790393,4.6,0,0,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",296.0,7.910270020417905,4.0,0.7557057607468353,7.0,2910.0,5307102.0,0.0005483218524912,0.0072164948453608,0.1542955326460481,0.2378006872852233,0.0989690721649484,4.0,0.3260553129548763,0.0611353711790393,4.4,0,0,0,0,0,0,1,0,1,0,0
Cortland,1,"Atlanta, GA",677.0,2.69534219435679,6.0,0.7780955867834007,6.0,4157.0,3591323.0,0.0011575121480301,0.0488332932403175,0.0714457541496271,0.4135193649266298,0.1765696415684387,5.0,0.3260553129548763,0.0611353711790393,4.6,0,0,1,0,0,0,1,0,1,0,0
Greystar,1,"Atlanta, GA",318.0,2.2727263148677554,4.0,0.752602401815477,24.0,2157.0,1362108.0,0.001583574870715,0.0458970792767733,0.0264255910987482,0.3764487714418173,0.1121928604543347,4.0,0.363901018922853,0.1382823871906841,4.2,0,0,1,0,0,0,1,0,0,1,0
Greystar,0,"Atlanta, GA",166.0,16.11246513968174,3.0,0.754912342978848,36.0,2711.0,2502337.0,0.001083387249599,0.0254518627812615,0.1552932497233493,0.0708225746956842,0.0143858354850608,3.0,0.363901018922853,0.1382823871906841,4.3,0,1,0,1,0,0,0,0,0,1,0
Greystar,1,"Atlanta, GA",400.0,5.555758607833715,3.0,0.6300816911346184,57.0,5001.0,2506664.0,0.0019950819096616,0.0273945210957808,0.0943811237752449,0.3535292941411718,0.2103579284143171,3.0,0.363901018922853,0.1382823871906841,3.6,0,1,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",448.0,14.147669738211588,3.0,0.6458283142479347,39.0,5576.0,1265672.0,0.0044055647908778,0.0211621233859397,0.1000717360114777,0.0925394548063127,0.0640243902439024,3.0,0.363901018922853,0.1382823871906841,,0,1,0,1,0,0,0,0,0,1,0
Greystar,1,"Atlanta, GA",300.0,15.449902002761824,2.0,0.6855629972495656,29.0,2962.0,2757692.0,0.0010740865912509,0.0266711681296421,0.1171505739365293,0.1816340310600945,0.0395003376097231,4.0,0.363901018922853,0.1382823871906841,4.1,0,1,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",679.0,5.365485824910222,3.0,0.6304204727999819,45.0,4859.0,2775451.0,0.0017507064617606,0.0203745626672154,0.0849969129450504,0.3819715990944639,0.1539411401522947,3.0,0.363901018922853,0.1382823871906841,3.8,0,1,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",342.0,1.1303268004681322,3.0,0.6110294680621244,34.0,2219.0,535768.0,0.0041417180570694,0.0,0.0464173050923839,0.3325822442541685,0.1852185669220369,3.0,0.363901018922853,0.1382823871906841,3.7,0,0,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",532.0,11.293423076141623,2.0,0.2623636435358978,56.0,3799.0,5834385.0,0.0006511397516619,0.0150039484074756,0.0897604632798104,0.1758357462490129,0.0784416951829428,2.0,0.363901018922853,0.1382823871906841,3.6,0,0,0,1,0,0,0,0,0,0,1
Greystar,0,"Atlanta, GA",240.0,1.6373775450685162,3.0,0.6289582601226035,34.0,4041.0,1846251.0,0.0021887598165146,0.0118782479584261,0.0240039594159861,0.3610492452363276,0.2316258351893095,3.0,0.363901018922853,0.1382823871906841,3.4,0,0,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",498.0,7.687362824171058,3.0,0.6205721544761635,47.0,5016.0,987581.0,0.005079077057983,0.0233253588516746,0.1586921850079744,0.0956937799043062,0.0303030303030303,3.0,0.363901018922853,0.1382823871906841,3.4,0,0,0,1,0,0,0,0,0,1,0
Greystar,1,"Atlanta, GA",446.0,12.521495096133863,3.0,0.6372723082836693,38.0,4994.0,2760345.0,0.0018091941405874,0.0196235482579094,0.1121345614737685,0.1676011213456147,0.0440528634361233,3.0,0.363901018922853,0.1382823871906841,3.3,0,1,0,1,0,0,0,0,0,1,0
Greystar,1,"Atlanta, GA",410.0,8.336790861140926,2.0,0.6609588109840782,39.0,2306.0,1262773.0,0.0018261397733401,0.0329575021682567,0.1734605377276669,0.1678230702515177,0.0450997398091934,3.0,0.363901018922853,0.1382823871906841,3.2,0,1,0,1,0,0,0,0,0,1,0
Greystar,1,"Atlanta, GA",440.0,11.60140983122164,3.0,0.7201979006324277,23.0,4911.0,2104443.0,0.0023336341255144,0.0160863367949501,0.207697006719609,0.1262472001628996,0.0201588271227855,4.0,0.363901018922853,0.1382823871906841,4.2,0,1,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",240.0,10.887056009235645,2.0,0.6521206620860093,41.0,2636.0,907994.0,0.0029031028839397,0.0349013657056145,0.1616084977238239,0.1187405159332321,0.015174506828528,3.0,0.363901018922853,0.1382823871906841,3.7,0,0,0,1,0,0,0,0,0,1,0
Greystar,0,"Atlanta, GA",236.0,16.90693502869658,4.0,0.7389711339657123,29.0,5193.0,3185907.0,0.0016299910826022,0.0348546119776622,0.1334488734835355,0.2305025996533795,0.0182938571153475,3.0,0.363901018922853,0.1382823871906841,3.4,0,1,0,0,0,0,1,0,0,1,0
Greystar,0,"Atlanta, GA",264.0,10.323141192046586,2.0,0.6865591720849493,42.0,4280.0,3689209.0,0.0011601402902356,0.0245327102803738,0.0894859813084112,0.1647196261682243,0.0532710280373831,4.0,0.363901018922853,0.1382823871906841,3.9,0,1,0,1,0,0,0,0,0,1,0
