,market,rank,total_units,total_properties,lat,lon,submarket
215,"Coeur d'Alene, ID",3,528.0,2,47.71,-117.02,Kootenai County
216,"College Station-Bryan, TX",1,1052.0,6,30.62,-96.31,Wolf Pen Creek District
217,"College Station-Bryan, TX",2,870.0,2,30.63,-96.31,Wolf Pen Creek District
218,"College Station-Bryan, TX",3,775.0,3,30.64,-96.33,Bryan & College Station
219,"Colorado Springs, CO",1,1728.0,8,38.88,-104.76,Palmer Park
220,"Colorado Springs, CO",2,1684.0,9,38.83,-104.82,Downtown Colorado Springs
221,"Colorado Springs, CO",3,1272.0,5,38.82,-104.75,Gateway Park
222,"Columbia, MO",1,859.0,5,38.96,-92.37,Columbia/Jefferson City
223,"Columbia, MO",2,825.0,2,38.9,-92.29,Columbia/Jefferson City
224,"Columbia, MO",3,760.0,2,38.96,-92.26,Columbia/Jefferson City
225,"Columbia, SC",1,1419.0,5,34.04,-81.08,St Andrews
226,"Columbia, SC",2,1290.0,3,34.0,-81.05,Congaree Vista
227,"Columbia, SC",3,1280.0,5,34.08,-80.96,Northeast Arcadia Lakes
228,"Columbus , GA",1,1034.0,4,32.49,-85.02,Phenix City
229,"Columbus , GA",2,982.0,1,32.53,-84.87,East Columbus
230,"Columbus , GA",3,818.0,3,32.57,-84.93,North Columbus
231,"Columbus, IN",1,464.0,2,39.2,-85.97,Indiana South Area
232,"Columbus, IN",2,424.0,1,39.2,-85.96,Indiana South Area
233,"Columbus, IN",3,418.0,3,39.2,-85.88,Indiana South Area
234,"Columbus, OH",1,3084.0,15,39.96,-83.0,Uptown District
235,"Columbus, OH",2,2514.0,12,39.96,-83.01,East Franklinton
236,"Columbus, OH",3,2201.0,17,39.96,-82.99,Discovery District
237,"Corpus Christi, TX",1,1363.0,2,27.71,-97.41,South Side
238,"Corpus Christi, TX",2,1346.0,6,27.69,-97.4,South Side
239,"Corpus Christi, TX",3,1102.0,4,27.68,-97.39,South Side
240,"Corvallis, OR",1,677.0,2,44.58,-123.3,Oregon West Area
241,"Corvallis, OR",2,598.0,5,44.56,-123.27,Oregon West Area
242,"Corvallis, OR",3,528.0,2,44.55,-123.31,Oregon West Area
243,"Cumberland, MD",1,138.0,1,39.63,-78.74,Maryland West/Hagerstown
244,"Cumberland, MD",2,98.0,1,39.62,-78.81,Maryland West/Hagerstown
245,"Cumberland, MD",3,77.0,1,39.64,-78.76,Maryland West/Hagerstown
246,"Dallas-Fort Worth, TX",1,6188.0,25,32.8,-96.8,Uptown Dallas
247,"Dallas-Fort Worth, TX",2,6135.0,18,32.79,-96.81,Victory Park
248,"Dallas-Fort Worth, TX",3,5629.0,26,32.78,-96.8,City Center
249,"Dalton, GA",1,537.0,4,34.78,-85.0,Georgia Northwest
250,"Dalton, GA",2,278.0,2,34.79,-85.0,Georgia Northwest
251,"Dalton, GA",3,234.0,1,34.77,-84.97,Georgia Northwest
252,"Danville, IL",1,312.0,2,40.16,-87.6,Illinois North Area
253,"Danville, IL",2,233.0,2,40.16,-87.63,Illinois North Area
254,"Danville, IL",3,212.0,2,40.18,-87.62,Illinois North Area
255,"Daphne-Fairhope-Foley, AL",1,841.0,3,30.37,-87.69,Baldwin County
256,"Daphne-Fairhope-Foley, AL",2,475.0,1,30.31,-87.68,Baldwin County
257,"Daphne-Fairhope-Foley, AL",3,458.0,2,30.6,-87.88,Baldwin County
258,"Davenport, IA",1,921.0,3,41.48,-90.44,Outer Rock Island/Moline
259,"Davenport, IA",2,604.0,6,41.52,-90.57,Downtown Davenport
260,"Davenport, IA",3,502.0,3,41.56,-90.56,North Side
261,"Dayton, OH",1,1402.0,12,39.76,-84.19,Downtown Dayton
262,"Dayton, OH",2,964.0,4,39.63,-84.23,Miamisburg/Moraine
263,"Dayton, OH",3,910.0,4,39.69,-84.1,Beavercreek/Bellbrook
264,"Daytona Beach, FL",1,1933.0,7,29.2,-81.07,Greater Daytona
265,"Daytona Beach, FL",2,937.0,3,29.23,-81.08,Grand Preserve  One
266,"Daytona Beach, FL",3,832.0,3,29.25,-81.11,Outer Ormand Beach
267,"Decatur, AL",1,360.0,2,34.57,-86.99,Alabama North Area
268,"Decatur, AL",2,296.0,2,34.58,-87.02,Alabama North Area
269,"Decatur, AL",3,270.0,3,34.55,-86.99,Alabama North Area
270,"Decatur, IL",1,825.0,3,39.89,-88.94,Springfield/Decatur
271,"Decatur, IL",2,471.0,1,39.85,-88.95,Springfield/Decatur
272,"Decatur, IL",3,331.0,1,39.89,-88.93,Springfield/Decatur
273,"Denver, CO",1,6594.0,26,39.75,-104.99,Five Points
274,"Denver, CO",2,6468.0,24,39.73,-104.99,Golden Triangle
275,"Denver, CO",3,5805.0,21,39.76,-105.0,Ballpark
276,"Des Moines, IA",1,1944.0,14,41.58,-93.63,Downtown Des Moines
277,"Des Moines, IA",2,1684.0,12,41.59,-93.61,East Village
278,"Des Moines, IA",3,1463.0,13,41.58,-93.62,Downtown Des Moines
279,"Detroit, MI",1,2623.0,16,42.33,-83.05,City Center Detroit
280,"Detroit, MI",2,2477.0,19,42.35,-83.06,Midtown Detroit
281,"Detroit, MI",3,2388.0,1,42.62,-82.91,Clinton Township
282,"Dothan, AL",1,455.0,3,31.26,-85.41,Dothan/Enterprise
283,"Dothan, AL",2,353.0,3,31.22,-85.43,Dothan/Enterprise
284,"Dothan, AL",3,352.0,1,31.19,-85.4,Dothan/Enterprise
285,"Dover, DE",1,438.0,1,39.15,-75.55,Outer Dover-Kent County
286,"Dover, DE",2,404.0,2,39.28,-75.6,Outer North Kent County
287,"Dover, DE",3,384.0,3,39.17,-75.51,Outer Dover-Kent County
288,"Dubuque, IA",1,282.0,2,42.5,-90.73,Iowa Northeast Area
289,"Dubuque, IA",2,279.0,4,42.5,-90.66,Iowa Northeast Area
290,"Dubuque, IA",3,253.0,2,42.53,-90.65,Iowa Northeast Area
291,"Duluth, MN",1,693.0,7,46.79,-92.1,Downtown Duluth
292,"Duluth, MN",2,510.0,4,46.8,-92.12,Duluth Heights
293,"Duluth, MN",3,449.0,3,46.82,-92.07,Hunters Park
294,"Durham, NC",1,2877.0,14,36.0,-78.9,Central Park
295,"Durham, NC",2,2624.0,11,36.01,-78.95,Duke
296,"Durham, NC",3,2065.0,8,35.99,-78.9,City Center Durham
297,"East Bay, CA",1,4971.0,28,37.8,-122.27,Lakeside
298,"East Bay, CA",2,4608.0,31,37.87,-122.27,Downtown Berkeley
299,"East Bay, CA",3,4251.0,24,37.81,-122.27,Uptown Oakland
300,"East Stroudsburg, PA",1,330.0,4,40.99,-75.17,Monroe County
